Feature,Levels,IG_Date,CMI,NotMissing,Date_Rank,CMI_Rank
S25.21_Min,543,0.000107761744969181,9.64363237123678E-5,0.00596580181407007,105,104
S25.211_Min,922,0.000107237950613737,0.00012488520690912,0.00833286166723126,106,99
S25.212_Min,321,3.15696687795963E-5,1.46972091998876E-5,0.00362999863991208,119,118
S25.213_Min,314,3.32618239085036E-5,1.59067250358191E-5,0.00362999863991208,114,115
S25.214_Min,310,3.24792687607101E-5,1.47093305944424E-5,0.00362915386480388,116,117
S25.215_Min,314,3.27682273066898E-5,1.51981007441293E-5,0.00362830908969569,115,116
S25.216_Min,298,1.47265782981521E-5,6.2209886264597E-6,0.00181373215729375,122,122
S25.217_Min,292,2.12508823729252E-5,1.02923520461928E-5,0.00181964558305111,120,120
S25.218_Min,290,1.99131690976628E-5,7.69209284445793E-6,0.00183147243456583,121,121
S25.219_Min,287,1.4402621385301E-5,5.27297771402147E-6,0.00178838890404791,123,123
S25.22_Min,286,3.24090177237224E-5,1.44712890586263E-5,0.00360550016177443,117,119
S25.221_Min,300,4.43192052621555E-5,3.75453322885022E-5,0.00209250794299795,113,113
S25.222_Min,1206,0.000199357409586654,0.00019397369609564,0.0150184118734831,93,92
S25.223_Min,1199,0.00020384339883428,0.000191523017226913,0.0150192566485913,92,95
S25.224_Min,1194,0.000208837982523136,0.000191264951900472,0.0150167223232667,90,96
S25.225_Min,1204,0.000205841316994082,0.000191844864532165,0.0150175670983749,91,94
S25.226_Min,1130,0.000119519862272099,9.60844147179785E-5,0.00749484475990224,101,105
S25.227_Min,1120,0.000124617826731566,0.0001093885691823,0.0075489103668267,100,100
S25.228_Min,1102,0.000109679708190313,8.94514582894246E-5,0.00743402095211223,103,108
S25.229_Min,1100,0.000137973349035647,0.000108716983226564,0.00758016704582989,99,101
S25.23_Min,1116,0.000197211901925343,0.000193938321078058,0.0150133432228339,94,93
S26_Min,22501,0.00400714672664826,0.00556119698845681,0.191773242086358,17,20
S27_Min,12466,0.00194060651994654,0.00291321066589845,0.101988854037222,32,32
S28_Min,1139,0.000167484651045768,0.000173578849523182,0.00809547986182858,98,97
S29_Min,65875,0.014314402770923,0.0255539669946945,0.94583470961278,3,1
S30_Min,65135,0.0143741457265829,0.0255457674419031,0.945988458682472,2,3
S31_Min,2428,0.000321654252743997,0.000397201429289673,0.0329487635449129,81,80
S32_Min,13645,0.00369002982301936,0.00190275665264306,0.0207333154804194,18,39
S33_Min,65452,0.0135415689622427,0.0239306500924901,0.941666589228948,5,5
S34_Min,65642,0.0136400971008825,0.0242610300258619,0.942023929099715,4,4
S35_Min,64559,0.00850828054161745,0.0123875348899052,0.466407095435089,7,10
S36_Min,64988,0.00899427615596959,0.0131603292742195,0.480704069366174,6,9
S37_Min,65956,0.0145145372715803,0.0255502540976202,0.946480962570549,1,2
S38_Min,12910,0.000820797346335667,0.000808124467366334,0.0229288859866171,46,53
S39_Min,3875,0.000728177143630049,0.00124426057791993,0.0506087871817204,47,46
S40_Min,3901,0.000718175192110593,0.00124086745730878,0.0506138558323696,50,48
S41_Min,3918,0.000720144236758813,0.00123409238369021,0.0506130110572614,49,51
S42_Min,16,7.38527230481623E-8,0,1.26716266229186E-5,126,127
S43_Min,3872,0.000459013508164574,0.000639228061547037,0.0258087243304524,61,61
S44_Min,3824,0.000432719528959069,0.00060659051759604,0.025177677324631,64,64
S45_Min,3846,0.000712675566115095,0.00124273042240652,0.0506290617843171,52,47
S46_Min,2,4.92348739555837E-9,0,8.44775108194572E-7,127,127
S47_Min,3847,0.00072256708177143,0.00123326256670619,0.0506484916118056,48,52
S48_Min,3854,0.000714759688568378,0.00123520491742291,0.0506214588083433,51,50
S49_Min,3768,0.000441805489121094,0.000607953413824802,0.0250670117854575,63,63
S50_Min,3779,0.00045365570382927,0.000637931280955684,0.025646527509679,62,62
S51_Min,3863,0.000708198959872064,0.00123655839076608,0.0505623245507697,53,49
