id,u_str
30,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001001000000000000000
31,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001001100000000000000
32,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001001110000000000000
33,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001010100000000000000
34,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001010110000000000000
35,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001100100000000000000
36,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001101000000000000000
37,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001101100000000000000
38,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001101110000000000000
39,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001110000000000000000
40,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001110100000000000000
41,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001110110000000000000
42,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011010001100000000000000
43,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011010001110000000000000
44,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011010010100000000000000
45,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011010101100000000000000
46,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011010110100000000000000
47,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011011001100000000000000
48,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011011010100000000000000
49,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011011101100000000000000
50,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011011110100000000000000
51,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011011110110000000000000
52,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111001101100000000000000
53,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111001101110000000000000
54,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111001110100000000000000
55,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111010010100000000000000
56,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111010010110000000000000
57,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111011101100000000000000
58,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111011110100000000000000
59,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001001101100000000000000
60,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001001110100000000000000
61,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001011101100000000000000
62,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010001110100000000000000
63,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011001101100000000000000
64,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011001101110000000000000
65,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011001110100000000000000
66,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011001110110000000000000
67,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011010001100000000000000
68,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011010001110000000000000
69,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011010010100000000000000
70,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011010010110000000000000
71,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011011101100000000000000
72,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011011110100000000000000
73,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001001101100000000000000
74,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001001110100000000000000
75,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010011001101100000000000000
76,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010011001101110000000000000
77,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010011001110100000000000000
78,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010011001110110000000000000
79,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010011010001100000000000000
80,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111110100011001101100000000000000
81,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111110101000000000001110101011101
82,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111110110011001101100000000000000
83,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010111001100011001110100000000000000
84,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011011110110011001110100000000000000
85,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110001101011001101100000000000000
86,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110001101011001110100000000000000
87,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111000000011001101100000000000000
88,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111000000011001110100000000000000
89,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111000000111001101100000000000000
90,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111000000111011101100000000000000
91,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001100001001110100000000000000
92,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001100001011101100000000000000
93,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001100011001101100000000000000
94,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001100011001101110000000000000
95,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001100011001110100000000000000
96,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001100011011101100000000000000
97,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001100011011110100000000000000
98,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001100111001110100000000000000
99,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001100111001110110000000000000
100,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001101000000000001110011011011
101,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001101000000000001110011011101
102,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001101000000000001110101011011
103,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001101000000000001110101011101
104,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001101000000000010000000000000
105,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001101001001101100000000000000
106,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001101011001101100000000000000
107,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001101011001101110000000000000
108,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001101011001110100000000000000
109,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001101011001110110000000000000
110,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001101011010010100000000000000
111,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001101011010010110000000000000
112,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001101011011101100000000000000
113,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001101011011110100000000000000
114,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001110000000000001110011011011
115,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001110001001101100000000000000
116,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001110011001101000000000000000
117,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001110011001101100000000000000
118,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001110011001101110000000000000
119,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001110011001110100000000000000
120,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001110011001110110000000000000
121,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001110011010001100000000000000
122,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001110011010001110000000000000
123,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001110011010010100000000000000
124,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001110011010010110000000000000
125,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001110011011101100000000000000
126,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111001110011011110100000000000000
127,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111100000111001101100000000000000
128,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111100000111001110100000000000000
129,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111100000111011101100000000000000
130,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111100001011001101100000000000000
131,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111100101011001110100000000000000
132,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101001011001110100000000000000
133,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101100001001110100000000000000
134,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101100011001101100000000000000
135,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101100011001110100000000000000
136,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101100011001110110000000000000
137,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101100011011101100000000000000
138,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101100011011110100000000000000
139,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101100111001101100000000000000
140,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101100111001110100000000000000
141,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101101000000000001110011011011
142,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101101000000000001110011011101
143,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101101000000000001110101011011
144,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101101000000000001110101011101
145,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101101000000000010000000000000
146,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101101001001101100000000000000
147,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101101001001110100000000000000
148,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101101010001101100000000000000
149,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101101011001101100000000000000
150,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101101011001101110000000000000
151,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101101011001110100000000000000
152,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101101011001110110000000000000
153,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101101011010010100000000000000
154,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101101011010010110000000000000
155,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101101011011101100000000000000
156,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101101011011110100000000000000
157,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101110001001101100000000000000
158,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101110001001110100000000000000
159,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101110010001101100000000000000
160,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101110011001101100000000000000
161,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101110011001101110000000000000
162,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101110011001110100000000000000
163,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101110011001110110000000000000
164,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101110011010001100000000000000
165,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101110011010010100000000000000
166,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101110011010010110000000000000
167,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101110011011101100000000000000
168,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111101110011011110100000000000000
169,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110000111001101100000000000000
170,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110001011001101100000000000000
171,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110100001001110100000000000000
172,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110100011001101100000000000000
173,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110100011001101110000000000000
174,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110100011001110100000000000000
175,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110100011011101100000000000000
176,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110100011011110100000000000000
177,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110100111001101100000000000000
178,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101000000000001110011011011
179,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101000000000001110011011101
180,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101000000000001110101011011
181,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101000000000001110101011101
182,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101000000000001110111011011
183,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101000000000010000000000000
184,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101001001101100000000000000
185,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101001001110100000000000000
186,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101001001110110000000000000
187,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101011001101100000000000000
188,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101011001101110000000000000
189,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101011001110100000000000000
190,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101011001110110000000000000
191,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101011010001100000000000000
192,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101011010010100000000000000
193,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101011010010110000000000000
194,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101011011101100000000000000
195,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101011011110100000000000000
196,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110101111011110100000000000000
197,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110110000000000001110101011101
198,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110110001001101100000000000000
199,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110110001001110100000000000000
200,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110110011001101100000000000000
201,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110110011001101110000000000000
202,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110110011001110000000000000000
203,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110110011001110100000000000000
204,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110110011001110110000000000000
205,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110110011010001100000000000000
206,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110110011010001110000000000000
207,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110110011010010100000000000000
208,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110110011010010110000000000000
209,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110110011010101100000000000000
210,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110110011011101100000000000000
211,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110110011011110100000000000000
212,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111101011001101100000000000000
213,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101111101110011001110100000000000000
214,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111011101110011001101100000000000000
215,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111011101110011001110100000000000000
216,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111110001110011001101100000000000000
217,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111110001110011001110100000000000000
218,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111110110110011001110100000000000000
219,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111000110011001110100000000000000
220,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001100011001101100000000000000
221,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001100101001101100000000000000
222,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001100111001101100000000000000
223,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001100111001101110000000000000
224,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001100111001110100000000000000
225,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001100111001110110000000000000
226,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001101000000000001110011011101
227,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001101011001101100000000000000
228,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001101011001101110000000000000
229,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001101011001110100000000000000
230,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001101011011101100000000000000
231,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001110000000000001110011011101
232,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001110011001101100000000000000
233,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001110011001101110000000000000
234,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001110011001110100000000000000
235,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001110011001110110000000000000
236,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001110011010001100000000000000
237,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001110011010001110000000000000
238,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001110011011101100000000000000
239,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001110011011110100000000000000
240,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101100011001101100000000000000
241,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101100011001110100000000000000
242,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101100111001101100000000000000
243,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101100111001110100000000000000
244,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101100111001110110000000000000
245,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101100111011110100000000000000
246,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101101010001110100000000000000
247,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101101011001101100000000000000
248,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101101011001110100000000000000
249,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101101011011110100000000000000
250,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101110000000000001010011011011
251,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101110000000000010000000000000
252,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101110001001101100000000000000
253,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101110001001110100000000000000
254,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101110011001101100000000000000
255,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101110011001101110000000000000
256,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101110011001110000000000000000
257,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101110011001110100000000000000
258,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101110011001110110000000000000
259,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101110011010010100000000000000
260,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101110011010010110000000000000
261,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101110011010101100000000000000
262,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101110011011101100000000000000
263,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101110011011110100000000000000
264,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110010011001101100000000000000
265,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110100011001101100000000000000
266,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110100011001110100000000000000
267,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110100011001110110000000000000
268,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110100111001101100000000000000
269,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110100111001101110000000000000
270,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110100111001110100000000000000
271,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110100111001110110000000000000
272,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110100111011101100000000000000
273,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110101001001101100000000000000
274,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110101010001101100000000000000
275,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110101011001101100000000000000
276,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110101011001101110000000000000
277,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110101011001110100000000000000
278,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110101011001110110000000000000
279,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110101011011101100000000000000
280,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110101011011110100000000000000
281,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110000000000001110101011011
282,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110001001101100000000000000
283,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110001001110100000000000000
284,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110001001110110000000000000
285,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110010001101100000000000000
286,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110010001110100000000000000
287,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110011001101000000000000000
288,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110011001101100000000000000
289,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110011001101110000000000000
290,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110011001110100000000000000
291,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110011001110110000000000000
292,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110011010001100000000000000
293,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110011010001110000000000000
294,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110011010010100000000000000
295,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110011010010110000000000000
296,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110011010110100000000000000
297,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110011011101100000000000000
298,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110110011011110100000000000000
299,000000000000000000000000000000000000000000000000000000000000000000000000000000000000111011101000000000010011001101100000000000000
300,000000000000000000000000000000000000000000000000000000000000000000000000000000000000111100000011111101100111001110100000000000000
301,000000000000000000000000000000000000000000000000000000000000000000000000000000000000111100000011111110100111001101100000000000000
302,000000000000000000000000000000000000000000000000000000000000000000000000000000000000111100011000000000001011001110100000000000000
303,000000000000000000000000000000000000000000000000000000000000000000000000000000000000111110011000000000000011001101100000000000000
