line,station,feature_nr,name,nunique,nunique_fault,unique,unique_fault,val_most_common,val_most_common_fault,nunique_diff,same_most_common,prod_passed,prod_passed_rel,prod_passed_fault,prod_passed_fault_rel,ratio_fault,different_most_common
0,6,128,L0_S6_F128,1,1,[ 16.],[ 16.],16.0,16.0,0,1,7,5.91342575736e-06,0,0.0,0.0,0
0,6,129,L0_S6_F129,1,1,[ 1.],[ 1.],1.0,1.0,0,1,7,5.91342575736e-06,0,0.0,0.0,0
0,6,131,L0_S6_F131,1,1,[ 16.],[ 16.],16.0,16.0,0,1,7,5.91342575736e-06,0,0.0,0.0,0
0,6,133,L0_S6_F133,1,1,[ 1.],[ 1.],1.0,1.0,0,1,7,5.91342575736e-06,0,0.0,0.0,0
0,6,135,L0_S6_F135,1,1,[ 16.],[ 16.],16.0,16.0,0,1,7,5.91342575736e-06,0,0.0,0.0,0
0,9,151,L0_S9_F151,1,1,[ 1.],[ 1.],1.0,1.0,0,1,495,0.000418163678556,2,0.00029073993313,0.6952778255,0
0,9,153,L0_S9_F153,1,1,[ 1.],[ 1.],1.0,1.0,0,1,83,7.01163339801e-05,0,0.0,0.0,0
0,9,154,L0_S9_F154,19,6,"[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07   9.60000000e+01   4.80000000e+01   1.67772320e+07
   1.67775570e+07   1.28000000e+02   3.20000000e+01   1.25829120e+07
   6.55360000e+04   6.55300000e+03   1.67794280e+07   1.67774720e+07
   1.60000000e+01   3.35544480e+07  -1.87481920e+07]","[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07   9.60000000e+01]",8.0,48576.0,13,0,496,0.000419008453665,2,0.00029073993313,0.693876055691,1
0,9,156,L0_S9_F156,1,1,[ 1.],[ 1.],1.0,1.0,0,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,9,158,L0_S9_F158,1,1,[ 1.],[ 1.],1.0,1.0,0,1,80,6.75820086556e-05,0,0.0,0.0,0
0,9,159,L0_S9_F159,15,5,"[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07   4.80000000e+01   1.67772320e+07   1.67775570e+07
   1.28000000e+02   3.20000000e+01   1.25829120e+07   1.67794280e+07
   1.67774720e+07   1.60000000e+01   3.35544480e+07]","[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07]",8.0,8.0,10,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,9,161,L0_S9_F161,1,1,[ 1.],[ 1.],1.0,1.0,0,1,495,0.000418163678556,2,0.00029073993313,0.6952778255,0
0,9,163,L0_S9_F163,1,1,[ 1.],[ 1.],1.0,1.0,0,1,83,7.01163339801e-05,0,0.0,0.0,0
0,9,164,L0_S9_F164,18,6,"[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07   9.60000000e+01   4.80000000e+01   1.67772320e+07
   1.67775570e+07   1.28000000e+02   3.20000000e+01   1.25829120e+07
   6.55360000e+04   6.55300000e+03   1.67794280e+07   1.67774720e+07
   1.60000000e+01   3.35544480e+07]","[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07   9.60000000e+01]",8.0,48576.0,12,0,495,0.000418163678556,2,0.00029073993313,0.6952778255,1
0,9,166,L0_S9_F166,1,1,[ 1.],[ 1.],1.0,1.0,0,1,488,0.000412250252799,2,0.00029073993313,0.705251072997,0
0,9,168,L0_S9_F168,1,1,[ 1.],[ 1.],1.0,1.0,0,1,80,6.75820086556e-05,0,0.0,0.0,0
0,9,169,L0_S9_F169,16,6,"[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07   9.60000000e+01   4.80000000e+01   1.67772320e+07
   1.67775570e+07   1.28000000e+02   3.20000000e+01   1.25829120e+07
   1.67794280e+07   1.67774720e+07   1.60000000e+01   3.35544480e+07]","[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07   9.60000000e+01]",8.0,48576.0,10,0,488,0.000412250252799,2,0.00029073993313,0.705251072997,1
0,9,171,L0_S9_F171,1,1,[ 1.],[ 1.],1.0,1.0,0,1,495,0.000418163678556,2,0.00029073993313,0.6952778255,0
0,9,173,L0_S9_F173,1,1,[ 1.],[ 1.],1.0,1.0,0,1,83,7.01163339801e-05,0,0.0,0.0,0
0,9,174,L0_S9_F174,18,6,"[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07   9.60000000e+01   4.80000000e+01   1.67772320e+07
   1.67775570e+07   1.28000000e+02   3.20000000e+01   1.25829120e+07
   6.55360000e+04   6.55300000e+03   1.67794280e+07   1.67774720e+07
   1.60000000e+01   3.35544480e+07]","[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07   9.60000000e+01]",8.0,48576.0,12,0,495,0.000418163678556,2,0.00029073993313,0.6952778255,1
0,9,176,L0_S9_F176,1,1,[ 1.],[ 1.],1.0,1.0,0,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,9,178,L0_S9_F178,1,1,[ 1.],[ 1.],1.0,1.0,0,1,80,6.75820086556e-05,0,0.0,0.0,0
0,9,179,L0_S9_F179,15,5,"[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07   4.80000000e+01   1.67772320e+07   1.67775570e+07
   1.28000000e+02   3.20000000e+01   1.25829120e+07   1.67794280e+07
   1.67774720e+07   1.60000000e+01   3.35544480e+07]","[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07]",8.0,8.0,10,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,9,181,L0_S9_F181,1,1,[ 1.],[ 1.],1.0,1.0,0,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,9,183,L0_S9_F183,1,1,[ 1.],[ 1.],1.0,1.0,0,1,80,6.75820086556e-05,0,0.0,0.0,0
0,9,184,L0_S9_F184,15,5,"[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07   4.80000000e+01   1.67772320e+07   1.67775570e+07
   1.28000000e+02   3.20000000e+01   1.25829120e+07   1.67794280e+07
   1.67774720e+07   1.60000000e+01   3.35544480e+07]","[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07]",8.0,8.0,10,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,9,186,L0_S9_F186,1,1,[ 1.],[ 1.],1.0,1.0,0,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,9,188,L0_S9_F188,1,1,[ 1.],[ 1.],1.0,1.0,0,1,80,6.75820086556e-05,0,0.0,0.0,0
0,9,189,L0_S9_F189,15,5,"[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07   4.80000000e+01   1.67772320e+07   1.67775570e+07
   1.28000000e+02   3.20000000e+01   1.25829120e+07   1.67794280e+07
   1.67774720e+07   1.60000000e+01   3.35544480e+07]","[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07]",8.0,8.0,10,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,9,191,L0_S9_F191,1,1,[ 1.],[ 1.],1.0,1.0,0,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,9,193,L0_S9_F193,1,1,[ 1.],[ 1.],1.0,1.0,0,1,80,6.75820086556e-05,0,0.0,0.0,0
0,9,194,L0_S9_F194,15,5,"[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07   4.80000000e+01   1.67772320e+07   1.67775570e+07
   1.28000000e+02   3.20000000e+01   1.25829120e+07   1.67794280e+07
   1.67774720e+07   1.60000000e+01   3.35544480e+07]","[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07]",8.0,8.0,10,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,9,196,L0_S9_F196,1,1,[ 1.],[ 1.],1.0,1.0,0,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,9,198,L0_S9_F198,1,1,[ 1.],[ 1.],1.0,1.0,0,1,80,6.75820086556e-05,0,0.0,0.0,0
0,9,199,L0_S9_F199,15,5,"[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07   4.80000000e+01   1.67772320e+07   1.67775570e+07
   1.28000000e+02   3.20000000e+01   1.25829120e+07   1.67794280e+07
   1.67774720e+07   1.60000000e+01   3.35544480e+07]","[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07]",8.0,8.0,10,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,9,201,L0_S9_F201,1,1,[ 1.],[ 1.],1.0,1.0,0,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,9,203,L0_S9_F203,1,1,[ 1.],[ 1.],1.0,1.0,0,1,80,6.75820086556e-05,0,0.0,0.0,0
0,9,204,L0_S9_F204,15,5,"[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07   4.80000000e+01   1.67772320e+07   1.67775570e+07
   1.28000000e+02   3.20000000e+01   1.25829120e+07   1.67794280e+07
   1.67774720e+07   1.60000000e+01   3.35544480e+07]","[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07]",8.0,8.0,10,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,9,206,L0_S9_F206,1,1,[ 1.],[ 1.],1.0,1.0,0,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,9,208,L0_S9_F208,1,1,[ 1.],[ 1.],1.0,1.0,0,1,80,6.75820086556e-05,0,0.0,0.0,0
0,9,209,L0_S9_F209,15,5,"[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07   4.80000000e+01   1.67772320e+07   1.67775570e+07
   1.28000000e+02   3.20000000e+01   1.25829120e+07   1.67794280e+07
   1.67774720e+07   1.60000000e+01   3.35544480e+07]","[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07]",8.0,8.0,10,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,9,211,L0_S9_F211,1,1,[ 1.],[ 1.],1.0,1.0,0,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,9,213,L0_S9_F213,1,1,[ 1.],[ 1.],1.0,1.0,0,1,80,6.75820086556e-05,0,0.0,0.0,0
0,9,214,L0_S9_F214,15,5,"[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07   4.80000000e+01   1.67772320e+07   1.67775570e+07
   1.28000000e+02   3.20000000e+01   1.25829120e+07   1.67794280e+07
   1.67774720e+07   1.60000000e+01   3.35544480e+07]","[  8.00000000e+00   4.00000000e+00   4.85760000e+04   5.12000000e+02
   1.67772480e+07]",8.0,8.0,10,1,476,0.000402112951501,2,0.00029073993313,0.723030511812,0
0,10,215,L0_S10_F215,1,1,[ 1.],[ 1.],1.0,1.0,0,1,503,0.000424921879422,0,0.0,0.0,0
0,10,217,L0_S10_F217,1,1,[ 1.],[ 1.],1.0,1.0,0,1,302,0.000255122082675,0,0.0,0.0,0
0,10,218,L0_S10_F218,22,6,"[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01   9.60000000e+01   3.20000000e+01
   4.00000000e+00   6.55300000e+03   4.85760000e+04   5.12000000e+02
   3.35549440e+07   1.37200000e+03   3.35544480e+07   5.60000000e+01
   5.89824000e+05   6.55360000e+04   1.78258000e+05   5.20000000e+01
   1.25829120e+07   1.84360000e+04]","[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01]",16777232.0,16777557.0,16,0,503,0.000424921879422,0,0.0,0.0,1
0,10,220,L0_S10_F220,1,1,[ 1.],[ 1.],1.0,1.0,0,1,486,0.000410560702583,0,0.0,0.0,0
0,10,222,L0_S10_F222,1,1,[ 1.],[ 1.],1.0,1.0,0,1,294,0.000248363881809,0,0.0,0.0,0
0,10,223,L0_S10_F223,17,6,"[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01   3.20000000e+01   4.00000000e+00
   4.85760000e+04   5.12000000e+02   3.35549440e+07   3.35544480e+07
   5.60000000e+01   1.78258000e+05   5.20000000e+01   1.25829120e+07
   1.84360000e+04]","[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01]",16777232.0,16777557.0,11,0,486,0.000410560702583,0,0.0,0.0,1
0,10,225,L0_S10_F225,1,1,[ 1.],[ 1.],1.0,1.0,0,1,503,0.000424921879422,0,0.0,0.0,0
0,10,227,L0_S10_F227,1,1,[ 1.],[ 1.],1.0,1.0,0,1,302,0.000255122082675,0,0.0,0.0,0
0,10,228,L0_S10_F228,22,6,"[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01   9.60000000e+01   3.20000000e+01
   4.00000000e+00   6.55300000e+03   4.85760000e+04   5.12000000e+02
   3.35549440e+07   1.37200000e+03   3.35544480e+07   5.60000000e+01
   5.89824000e+05   6.55360000e+04   1.78258000e+05   5.20000000e+01
   1.25829120e+07   1.84360000e+04]","[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01]",16777232.0,16777557.0,16,0,503,0.000424921879422,0,0.0,0.0,1
0,10,230,L0_S10_F230,1,1,[ 1.],[ 1.],1.0,1.0,0,1,490,0.000413939803015,0,0.0,0.0,0
0,10,232,L0_S10_F232,1,1,[ 1.],[ 1.],1.0,1.0,0,1,294,0.000248363881809,0,0.0,0.0,0
0,10,233,L0_S10_F233,18,6,"[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01   9.60000000e+01   3.20000000e+01
   4.00000000e+00   4.85760000e+04   5.12000000e+02   3.35549440e+07
   3.35544480e+07   5.60000000e+01   1.78258000e+05   5.20000000e+01
   1.25829120e+07   1.84360000e+04]","[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01]",16777232.0,16777557.0,12,0,490,0.000413939803015,0,0.0,0.0,1
0,10,235,L0_S10_F235,1,1,[ 1.],[ 1.],1.0,1.0,0,1,503,0.000424921879422,0,0.0,0.0,0
0,10,237,L0_S10_F237,1,1,[ 1.],[ 1.],1.0,1.0,0,1,302,0.000255122082675,0,0.0,0.0,0
0,10,238,L0_S10_F238,22,6,"[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01   9.60000000e+01   3.20000000e+01
   4.00000000e+00   6.55300000e+03   4.85760000e+04   5.12000000e+02
   3.35549440e+07   1.37200000e+03   3.35544480e+07   5.60000000e+01
   5.89824000e+05   6.55360000e+04   1.78258000e+05   5.20000000e+01
   1.25829120e+07   1.84360000e+04]","[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01]",16777232.0,16777557.0,16,0,503,0.000424921879422,0,0.0,0.0,1
0,10,240,L0_S10_F240,1,1,[ 1.],[ 1.],1.0,1.0,0,1,486,0.000410560702583,0,0.0,0.0,0
0,10,242,L0_S10_F242,1,1,[ 1.],[ 1.],1.0,1.0,0,1,294,0.000248363881809,0,0.0,0.0,0
0,10,243,L0_S10_F243,17,6,"[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01   3.20000000e+01   4.00000000e+00
   4.85760000e+04   5.12000000e+02   3.35549440e+07   3.35544480e+07
   5.60000000e+01   1.78258000e+05   5.20000000e+01   1.25829120e+07
   1.84360000e+04]","[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01]",16777232.0,16777557.0,11,0,486,0.000410560702583,0,0.0,0.0,1
0,10,245,L0_S10_F245,1,1,[ 1.],[ 1.],1.0,1.0,0,1,486,0.000410560702583,0,0.0,0.0,0
0,10,247,L0_S10_F247,1,1,[ 1.],[ 1.],1.0,1.0,0,1,294,0.000248363881809,0,0.0,0.0,0
0,10,248,L0_S10_F248,17,6,"[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01   3.20000000e+01   4.00000000e+00
   4.85760000e+04   5.12000000e+02   3.35549440e+07   3.35544480e+07
   5.60000000e+01   1.78258000e+05   5.20000000e+01   1.25829120e+07
   1.84360000e+04]","[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01]",16777232.0,16777557.0,11,0,486,0.000410560702583,0,0.0,0.0,1
0,10,250,L0_S10_F250,1,1,[ 1.],[ 1.],1.0,1.0,0,1,486,0.000410560702583,0,0.0,0.0,0
0,10,252,L0_S10_F252,1,1,[ 1.],[ 1.],1.0,1.0,0,1,294,0.000248363881809,0,0.0,0.0,0
0,10,253,L0_S10_F253,17,6,"[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01   3.20000000e+01   4.00000000e+00
   4.85760000e+04   5.12000000e+02   3.35549440e+07   3.35544480e+07
   5.60000000e+01   1.78258000e+05   5.20000000e+01   1.25829120e+07
   1.84360000e+04]","[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01]",16777232.0,16777557.0,11,0,486,0.000410560702583,0,0.0,0.0,1
0,10,255,L0_S10_F255,1,1,[ 1.],[ 1.],1.0,1.0,0,1,486,0.000410560702583,0,0.0,0.0,0
0,10,257,L0_S10_F257,1,1,[ 1.],[ 1.],1.0,1.0,0,1,294,0.000248363881809,0,0.0,0.0,0
0,10,258,L0_S10_F258,17,6,"[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01   3.20000000e+01   4.00000000e+00
   4.85760000e+04   5.12000000e+02   3.35549440e+07   3.35544480e+07
   5.60000000e+01   1.78258000e+05   5.20000000e+01   1.25829120e+07
   1.84360000e+04]","[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01]",16777232.0,16777557.0,11,0,486,0.000410560702583,0,0.0,0.0,1
0,10,260,L0_S10_F260,1,1,[ 1.],[ 1.],1.0,1.0,0,1,486,0.000410560702583,0,0.0,0.0,0
0,10,262,L0_S10_F262,1,1,[ 1.],[ 1.],1.0,1.0,0,1,294,0.000248363881809,0,0.0,0.0,0
0,10,263,L0_S10_F263,17,6,"[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01   3.20000000e+01   4.00000000e+00
   4.85760000e+04   5.12000000e+02   3.35549440e+07   3.35544480e+07
   5.60000000e+01   1.78258000e+05   5.20000000e+01   1.25829120e+07
   1.84360000e+04]","[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01]",16777232.0,16777557.0,11,0,486,0.000410560702583,0,0.0,0.0,1
0,10,265,L0_S10_F265,1,1,[ 1.],[ 1.],1.0,1.0,0,1,486,0.000410560702583,0,0.0,0.0,0
0,10,267,L0_S10_F267,1,1,[ 1.],[ 1.],1.0,1.0,0,1,294,0.000248363881809,0,0.0,0.0,0
0,10,268,L0_S10_F268,17,6,"[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01   3.20000000e+01   4.00000000e+00
   4.85760000e+04   5.12000000e+02   3.35549440e+07   3.35544480e+07
   5.60000000e+01   1.78258000e+05   5.20000000e+01   1.25829120e+07
   1.84360000e+04]","[  1.67772320e+07   8.00000000e+00   1.67775570e+07   1.67772480e+07
   1.60000000e+01   4.80000000e+01]",16777232.0,16777557.0,11,0,486,0.000410560702583,0,0.0,0.0,1
0,10,270,L0_S10_F270,1,1,[ 1.],[ 1.],1.0,1.0,0,1,486,0.000410560702583,0,0.0,0.0,0
0,10,272,L0_S10_F272,1,1,[ 1.],[ 1.],1.0,1.0,0,1,294,0.000248363881809,0,0.0,0.0,0
