line,station,feature_nr,feat_nr_dat,name_dat,name_cat,name_num,station_V2
0,9,213,,,L0_S9_F213,,9.0
0,9,214,,,L0_S9_F214,,9.0
0,10,215,216.0,L0_S10_D216,L0_S10_F215,,10.0
0,10,217,,,L0_S10_F217,,10.0
0,10,218,,,L0_S10_F218,,10.0
0,10,219,,,,L0_S10_F219,10.0
0,10,220,221.0,L0_S10_D221,L0_S10_F220,,10.0
0,10,222,,,L0_S10_F222,,10.0
0,10,223,,,L0_S10_F223,,10.0
0,10,224,,,,L0_S10_F224,10.0
0,10,225,226.0,L0_S10_D226,L0_S10_F225,,10.0
0,10,227,,,L0_S10_F227,,10.0
0,10,228,,,L0_S10_F228,,10.0
0,10,229,,,,L0_S10_F229,10.0
0,10,230,231.0,L0_S10_D231,L0_S10_F230,,10.0
0,10,232,,,L0_S10_F232,,10.0
0,10,233,,,L0_S10_F233,,10.0
0,10,234,,,,L0_S10_F234,10.0
0,10,235,236.0,L0_S10_D236,L0_S10_F235,,10.0
0,10,237,,,L0_S10_F237,,10.0
0,10,238,,,L0_S10_F238,,10.0
0,10,239,,,,L0_S10_F239,10.0
0,10,240,241.0,L0_S10_D241,L0_S10_F240,,10.0
0,10,242,,,L0_S10_F242,,10.0
0,10,243,,,L0_S10_F243,,10.0
0,10,244,,,,L0_S10_F244,10.0
0,10,245,246.0,L0_S10_D246,L0_S10_F245,,10.0
0,10,247,,,L0_S10_F247,,10.0
0,10,248,,,L0_S10_F248,,10.0
0,10,249,,,,L0_S10_F249,10.0
0,10,250,251.0,L0_S10_D251,L0_S10_F250,,10.0
0,10,252,,,L0_S10_F252,,10.0
0,10,253,,,L0_S10_F253,,10.0
0,10,254,,,,L0_S10_F254,10.0
0,10,255,256.0,L0_S10_D256,L0_S10_F255,,10.0
0,10,257,,,L0_S10_F257,,10.0
0,10,258,,,L0_S10_F258,,10.0
0,10,259,,,,L0_S10_F259,10.0
0,10,260,261.0,L0_S10_D261,L0_S10_F260,,10.0
0,10,262,,,L0_S10_F262,,10.0
0,10,263,,,L0_S10_F263,,10.0
0,10,264,,,,L0_S10_F264,10.0
0,10,265,266.0,L0_S10_D266,L0_S10_F265,,10.0
0,10,267,,,L0_S10_F267,,10.0
0,10,268,,,L0_S10_F268,,10.0
0,10,269,,,,L0_S10_F269,10.0
0,10,270,271.0,L0_S10_D271,L0_S10_F270,,10.0
0,10,272,,,L0_S10_F272,,10.0
0,10,273,,,L0_S10_F273,,10.0
0,10,274,,,,L0_S10_F274,10.0
0,10,275,276.0,L0_S10_D276,L0_S10_F275,,10.0
0,10,277,,,L0_S10_F277,,10.0
0,10,278,,,L0_S10_F278,,10.0
0,11,279,280.0,L0_S11_D280,L0_S11_F279,,11.0
0,11,281,,,L0_S11_F281,,11.0
0,11,282,,,,L0_S11_F282,11.0
0,11,283,284.0,L0_S11_D284,L0_S11_F283,,11.0
0,11,285,,,L0_S11_F285,,11.0
0,11,286,,,,L0_S11_F286,11.0
0,11,287,288.0,L0_S11_D288,L0_S11_F287,,11.0
0,11,289,,,L0_S11_F289,,11.0
0,11,290,,,,L0_S11_F290,11.0
0,11,291,292.0,L0_S11_D292,L0_S11_F291,,11.0
0,11,293,,,L0_S11_F293,,11.0
0,11,294,,,,L0_S11_F294,11.0
0,11,295,296.0,L0_S11_D296,L0_S11_F295,,11.0
0,11,297,,,L0_S11_F297,,11.0
0,11,298,,,,L0_S11_F298,11.0
0,11,299,300.0,L0_S11_D300,L0_S11_F299,,11.0
0,11,301,,,L0_S11_F301,,11.0
0,11,302,,,,L0_S11_F302,11.0
0,11,303,304.0,L0_S11_D304,L0_S11_F303,,11.0
0,11,305,,,L0_S11_F305,,11.0
0,11,306,,,,L0_S11_F306,11.0
0,11,307,308.0,L0_S11_D308,L0_S11_F307,,11.0
0,11,309,,,L0_S11_F309,,11.0
0,11,310,,,,L0_S11_F310,11.0
0,11,311,312.0,L0_S11_D312,L0_S11_F311,,11.0
0,11,313,,,L0_S11_F313,,11.0
0,11,314,,,,L0_S11_F314,11.0
0,11,315,316.0,L0_S11_D316,L0_S11_F315,,11.0
0,11,317,,,L0_S11_F317,,11.0
0,11,318,,,,L0_S11_F318,11.0
0,11,319,320.0,L0_S11_D320,L0_S11_F319,,11.0
0,11,321,,,L0_S11_F321,,11.0
0,11,322,,,,L0_S11_F322,11.0
0,11,323,324.0,L0_S11_D324,L0_S11_F323,,11.0
0,11,325,,,L0_S11_F325,,11.0
0,11,326,,,,L0_S11_F326,11.0
0,11,327,328.0,L0_S11_D328,L0_S11_F327,,11.0
0,11,329,,,L0_S11_F329,,11.0
0,12,330,331.0,L0_S12_D331,,L0_S12_F330,12.0
0,12,332,333.0,L0_S12_D333,,L0_S12_F332,12.0
0,12,334,335.0,L0_S12_D335,,L0_S12_F334,12.0
0,12,336,337.0,L0_S12_D337,,L0_S12_F336,12.0
0,12,338,339.0,L0_S12_D339,,L0_S12_F338,12.0
0,12,340,341.0,L0_S12_D341,,L0_S12_F340,12.0
0,12,342,343.0,L0_S12_D343,,L0_S12_F342,12.0
0,12,344,345.0,L0_S12_D345,,L0_S12_F344,12.0
0,12,346,347.0,L0_S12_D347,,L0_S12_F346,12.0
0,12,348,349.0,L0_S12_D349,,L0_S12_F348,12.0
0,12,350,351.0,L0_S12_D351,,L0_S12_F350,12.0
0,12,352,353.0,L0_S12_D353,,L0_S12_F352,12.0
0,13,354,355.0,L0_S13_D355,,L0_S13_F354,13.0
0,13,356,357.0,L0_S13_D357,,L0_S13_F356,13.0
0,14,358,,,,L0_S14_F358,14.0
0,14,359,360.0,L0_S14_D360,L0_S14_F359,,14.0
0,14,361,,,L0_S14_F361,,14.0
0,14,362,,,,L0_S14_F362,14.0
0,14,363,364.0,L0_S14_D364,L0_S14_F363,,14.0
0,14,365,,,L0_S14_F365,,14.0
0,14,366,,,,L0_S14_F366,14.0
0,14,367,368.0,L0_S14_D368,L0_S14_F367,,14.0
0,14,369,,,L0_S14_F369,,14.0
0,14,370,,,,L0_S14_F370,14.0
0,14,371,372.0,L0_S14_D372,L0_S14_F371,,14.0
0,14,373,,,L0_S14_F373,,14.0
0,14,374,,,,L0_S14_F374,14.0
0,14,375,376.0,L0_S14_D376,L0_S14_F375,,14.0
0,14,377,,,L0_S14_F377,,14.0
0,14,378,,,,L0_S14_F378,14.0
0,14,379,380.0,L0_S14_D380,L0_S14_F379,,14.0
0,14,381,,,L0_S14_F381,,14.0
0,14,382,,,,L0_S14_F382,14.0
0,14,383,384.0,L0_S14_D384,L0_S14_F383,,14.0
0,14,385,,,L0_S14_F385,,14.0
0,14,386,,,,L0_S14_F386,14.0
0,14,387,388.0,L0_S14_D388,L0_S14_F387,,14.0
0,14,389,,,L0_S14_F389,,14.0
0,14,390,,,,L0_S14_F390,14.0
0,14,391,392.0,L0_S14_D392,L0_S14_F391,,14.0
0,14,393,,,L0_S14_F393,,14.0
0,15,394,395.0,L0_S15_D395,,L0_S15_F394,15.0
0,15,396,,,L0_S15_F396,,15.0
0,15,397,398.0,L0_S15_D398,,L0_S15_F397,15.0
0,15,399,,,L0_S15_F399,,15.0
0,15,400,401.0,L0_S15_D401,,L0_S15_F400,15.0
0,15,402,,,L0_S15_F402,,15.0
0,15,403,404.0,L0_S15_D404,,L0_S15_F403,15.0
0,15,405,,,L0_S15_F405,,15.0
0,15,406,407.0,L0_S15_D407,,L0_S15_F406,15.0
0,15,408,,,L0_S15_F408,,15.0
0,15,409,410.0,L0_S15_D410,,L0_S15_F409,15.0
0,15,411,,,L0_S15_F411,,15.0
0,15,412,413.0,L0_S15_D413,,L0_S15_F412,15.0
0,15,414,,,L0_S15_F414,,15.0
0,15,415,416.0,L0_S15_D416,,L0_S15_F415,15.0
0,15,417,,,L0_S15_F417,,15.0
0,15,418,419.0,L0_S15_D419,,L0_S15_F418,15.0
0,15,420,,,L0_S15_F420,,15.0
0,16,421,,,,L0_S16_F421,16.0
0,16,422,423.0,L0_S16_D423,L0_S16_F422,,16.0
0,16,424,,,L0_S16_F424,,16.0
0,16,425,,,L0_S16_F425,,16.0
0,16,426,,,,L0_S16_F426,16.0
0,16,427,428.0,L0_S16_D428,L0_S16_F427,,16.0
0,16,429,,,L0_S16_F429,,16.0
0,16,430,,,L0_S16_F430,,16.0
0,17,431,432.0,L0_S17_D432,,L0_S17_F431,17.0
0,17,433,434.0,L0_S17_D434,,L0_S17_F433,17.0
0,18,435,,,,L0_S18_F435,18.0
0,18,436,437.0,L0_S18_D437,L0_S18_F436,,18.0
0,18,438,,,L0_S18_F438,,18.0
0,18,439,,,,L0_S18_F439,18.0
0,18,440,441.0,L0_S18_D441,L0_S18_F440,,18.0
0,18,442,,,L0_S18_F442,,18.0
0,18,443,444.0,L0_S18_D444,L0_S18_F443,,18.0
0,18,445,,,L0_S18_F445,,18.0
0,18,446,447.0,L0_S18_D447,L0_S18_F446,,18.0
0,18,448,,,L0_S18_F448,,18.0
0,18,449,,,,L0_S18_F449,18.0
0,18,450,451.0,L0_S18_D451,L0_S18_F450,,18.0
0,18,452,,,L0_S18_F452,,18.0
0,19,453,454.0,L0_S19_D454,,L0_S19_F453,19.0
0,19,455,456.0,L0_S19_D456,,L0_S19_F455,19.0
0,19,456,457.0,L0_S19_D457,,,19.0
0,19,457,458.0,L0_S19_D458,,,19.0
0,19,459,460.0,L0_S19_D460,,L0_S19_F459,19.0
0,20,461,462.0,L0_S20_D462,,L0_S20_F461,20.0
0,20,463,464.0,L0_S20_D464,,L0_S20_F463,20.0
0,20,464,465.0,L0_S20_D465,,,20.0
0,20,466,467.0,L0_S20_D467,,L0_S20_F466,20.0
0,21,468,469.0,L0_S21_D469,L0_S21_F468,,21.0
0,21,470,,,L0_S21_F470,,21.0
0,21,471,,,L0_S21_F471,,21.0
0,21,472,,,,L0_S21_F472,21.0
0,21,473,474.0,L0_S21_D474,L0_S21_F473,,21.0
0,21,475,,,L0_S21_F475,,21.0
0,21,476,,,L0_S21_F476,,21.0
0,21,477,,,,L0_S21_F477,21.0
0,21,478,479.0,L0_S21_D479,L0_S21_F478,,21.0
0,21,480,,,L0_S21_F480,,21.0
0,21,481,,,L0_S21_F481,,21.0
0,21,482,,,,L0_S21_F482,21.0
0,21,483,484.0,L0_S21_D484,L0_S21_F483,,21.0
0,21,485,,,L0_S21_F485,,21.0
0,21,486,,,L0_S21_F486,,21.0
0,21,487,,,,L0_S21_F487,21.0
0,21,488,489.0,L0_S21_D489,L0_S21_F488,,21.0
0,21,490,,,L0_S21_F490,,21.0
0,21,491,,,L0_S21_F491,,21.0
0,21,492,,,,L0_S21_F492,21.0
0,21,493,494.0,L0_S21_D494,L0_S21_F493,,21.0
0,21,495,,,L0_S21_F495,,21.0
0,21,496,,,L0_S21_F496,,21.0
0,21,497,,,,L0_S21_F497,21.0
0,21,498,499.0,L0_S21_D499,L0_S21_F498,,21.0
0,21,500,,,L0_S21_F500,,21.0
0,21,501,,,L0_S21_F501,,21.0
0,21,502,,,,L0_S21_F502,21.0
0,21,503,504.0,L0_S21_D504,L0_S21_F503,,21.0
0,21,505,,,L0_S21_F505,,21.0
0,21,506,,,L0_S21_F506,,21.0
0,21,507,,,,L0_S21_F507,21.0
0,21,508,509.0,L0_S21_D509,L0_S21_F508,,21.0
0,21,510,,,L0_S21_F510,,21.0
0,21,511,,,L0_S21_F511,,21.0
0,21,512,,,,L0_S21_F512,21.0
0,21,513,514.0,L0_S21_D514,L0_S21_F513,,21.0
0,21,515,,,L0_S21_F515,,21.0
0,21,516,,,L0_S21_F516,,21.0
0,21,517,,,,L0_S21_F517,21.0
0,21,518,519.0,L0_S21_D519,L0_S21_F518,,21.0
0,21,520,,,L0_S21_F520,,21.0
0,21,521,,,L0_S21_F521,,21.0
0,21,522,,,,L0_S21_F522,21.0
0,21,523,524.0,L0_S21_D524,L0_S21_F523,,21.0
0,21,525,,,L0_S21_F525,,21.0
0,21,526,,,L0_S21_F526,,21.0
0,21,527,,,,L0_S21_F527,21.0
0,21,528,529.0,L0_S21_D529,L0_S21_F528,,21.0
0,21,530,,,L0_S21_F530,,21.0
0,21,531,,,L0_S21_F531,,21.0
0,21,532,,,,L0_S21_F532,21.0
0,21,533,534.0,L0_S21_D534,L0_S21_F533,,21.0
0,21,535,,,L0_S21_F535,,21.0
0,21,536,,,L0_S21_F536,,21.0
0,21,537,,,,L0_S21_F537,21.0
0,21,538,539.0,L0_S21_D539,L0_S21_F538,,21.0
0,21,540,,,L0_S21_F540,,21.0
0,21,541,,,L0_S21_F541,,21.0
0,22,542,543.0,L0_S22_D543,L0_S22_F542,,22.0
0,22,544,,,L0_S22_F544,,22.0
0,22,545,,,L0_S22_F545,,22.0
0,22,546,,,,L0_S22_F546,22.0
0,22,547,548.0,L0_S22_D548,L0_S22_F547,,22.0
0,22,549,,,L0_S22_F549,,22.0
0,22,550,,,L0_S22_F550,,22.0
0,22,551,,,,L0_S22_F551,22.0
0,22,552,553.0,L0_S22_D553,L0_S22_F552,,22.0
0,22,554,,,L0_S22_F554,,22.0
0,22,555,,,L0_S22_F555,,22.0
0,22,556,,,,L0_S22_F556,22.0
0,22,557,558.0,L0_S22_D558,L0_S22_F557,,22.0
0,22,559,,,L0_S22_F559,,22.0
0,22,560,,,L0_S22_F560,,22.0
0,22,561,,,,L0_S22_F561,22.0
0,22,562,563.0,L0_S22_D563,L0_S22_F562,,22.0
0,22,564,,,L0_S22_F564,,22.0
0,22,565,,,L0_S22_F565,,22.0
0,22,566,,,,L0_S22_F566,22.0
0,22,567,568.0,L0_S22_D568,L0_S22_F567,,22.0
0,22,569,,,L0_S22_F569,,22.0
0,22,570,,,L0_S22_F570,,22.0
0,22,571,,,,L0_S22_F571,22.0
0,22,572,573.0,L0_S22_D573,L0_S22_F572,,22.0
0,22,574,,,L0_S22_F574,,22.0
0,22,575,,,L0_S22_F575,,22.0
0,22,576,,,,L0_S22_F576,22.0
0,22,577,578.0,L0_S22_D578,L0_S22_F577,,22.0
0,22,579,,,L0_S22_F579,,22.0
0,22,580,,,L0_S22_F580,,22.0
0,22,581,,,,L0_S22_F581,22.0
0,22,582,583.0,L0_S22_D583,L0_S22_F582,,22.0
0,22,584,,,L0_S22_F584,,22.0
0,22,585,,,L0_S22_F585,,22.0
0,22,586,,,,L0_S22_F586,22.0
0,22,587,588.0,L0_S22_D588,L0_S22_F587,,22.0
0,22,589,,,L0_S22_F589,,22.0
0,22,590,,,L0_S22_F590,,22.0
0,22,591,,,,L0_S22_F591,22.0
0,22,592,593.0,L0_S22_D593,L0_S22_F592,,22.0
0,22,594,,,L0_S22_F594,,22.0
0,22,595,,,L0_S22_F595,,22.0
0,22,596,,,,L0_S22_F596,22.0
0,22,597,598.0,L0_S22_D598,L0_S22_F597,,22.0
0,22,599,,,L0_S22_F599,,22.0
0,22,600,,,L0_S22_F600,,22.0
0,22,601,,,,L0_S22_F601,22.0
0,22,602,603.0,L0_S22_D603,L0_S22_F602,,22.0
0,22,604,,,L0_S22_F604,,22.0
0,22,605,,,L0_S22_F605,,22.0
0,22,606,,,,L0_S22_F606,22.0
0,22,607,608.0,L0_S22_D608,L0_S22_F607,,22.0
0,22,609,,,L0_S22_F609,,22.0
0,22,610,,,L0_S22_F610,,22.0
0,22,611,,,,L0_S22_F611,22.0
0,22,612,613.0,L0_S22_D613,L0_S22_F612,,22.0
0,22,614,,,L0_S22_F614,,22.0
0,22,615,,,L0_S22_F615,,22.0
0,23,616,617.0,L0_S23_D617,L0_S23_F616,,23.0
0,23,618,,,L0_S23_F618,,23.0
0,23,619,,,,L0_S23_F619,23.0
0,23,620,621.0,L0_S23_D621,L0_S23_F620,,23.0
0,23,622,,,L0_S23_F622,,23.0
0,23,623,,,,L0_S23_F623,23.0
0,23,624,625.0,L0_S23_D625,L0_S23_F624,,23.0
0,23,626,,,L0_S23_F626,,23.0
0,23,627,,,,L0_S23_F627,23.0
0,23,628,629.0,L0_S23_D629,L0_S23_F628,,23.0
0,23,630,,,L0_S23_F630,,23.0
0,23,631,,,,L0_S23_F631,23.0
0,23,632,633.0,L0_S23_D633,L0_S23_F632,,23.0
0,23,634,,,L0_S23_F634,,23.0
0,23,635,,,,L0_S23_F635,23.0
0,23,636,637.0,L0_S23_D637,L0_S23_F636,,23.0
0,23,638,,,L0_S23_F638,,23.0
0,23,639,,,,L0_S23_F639,23.0
0,23,640,641.0,L0_S23_D641,L0_S23_F640,,23.0
0,23,642,,,L0_S23_F642,,23.0
0,23,643,,,,L0_S23_F643,23.0
0,23,644,645.0,L0_S23_D645,L0_S23_F644,,23.0
0,23,646,,,L0_S23_F646,,23.0
0,23,647,,,,L0_S23_F647,23.0
0,23,648,649.0,L0_S23_D649,L0_S23_F648,,23.0
0,23,650,,,L0_S23_F650,,23.0
0,23,651,,,,L0_S23_F651,23.0
0,23,652,653.0,L0_S23_D653,L0_S23_F652,,23.0
0,23,654,,,L0_S23_F654,,23.0
0,23,655,,,,L0_S23_F655,23.0
0,23,656,657.0,L0_S23_D657,L0_S23_F656,,23.0
0,23,658,,,L0_S23_F658,,23.0
0,23,659,,,,L0_S23_F659,23.0
0,23,660,661.0,L0_S23_D661,L0_S23_F660,,23.0
0,23,662,,,L0_S23_F662,,23.0
0,23,663,,,,L0_S23_F663,23.0
0,23,664,665.0,L0_S23_D665,L0_S23_F664,,23.0
0,23,666,,,L0_S23_F666,,23.0
0,23,667,,,,L0_S23_F667,23.0
0,23,668,669.0,L0_S23_D669,L0_S23_F668,,23.0
0,23,670,,,L0_S23_F670,,23.0
0,23,671,,,,L0_S23_F671,23.0
0,23,672,673.0,L0_S23_D673,L0_S23_F672,,23.0
0,23,674,,,L0_S23_F674,,23.0
1,24,675,,,L1_S24_F675,,24.1
1,24,676,677.0,L1_S24_D677,L1_S24_F676,,24.101
1,24,678,,,L1_S24_F678,,24.101
1,24,679,,,,L1_S24_F679,24.101
1,24,680,681.0,L1_S24_D681,L1_S24_F680,,24.101
1,24,682,,,L1_S24_F682,,24.101
1,24,683,,,,L1_S24_F683,24.101
1,24,684,685.0,L1_S24_D685,L1_S24_F684,,24.101
1,24,686,,,L1_S24_F686,,24.101
1,24,687,,,,L1_S24_F687,24.101
1,24,688,689.0,L1_S24_D689,L1_S24_F688,,24.101
1,24,690,,,L1_S24_F690,,24.101
1,24,691,,,,L1_S24_F691,24.101
1,24,692,693.0,L1_S24_D693,L1_S24_F692,,24.101
1,24,694,,,L1_S24_F694,,24.101
1,24,695,,,L1_S24_F695,,24.101
1,24,696,697.0,L1_S24_D697,L1_S24_F696,,24.102
1,24,698,,,L1_S24_F698,,24.102
1,24,699,,,L1_S24_F699,,24.102
1,24,700,,,,L1_S24_F700,24.102
1,24,701,702.0,L1_S24_D702,L1_S24_F701,,24.103
1,24,703,,,L1_S24_F703,,24.103
1,24,704,,,L1_S24_F704,,24.103
1,24,705,,,L1_S24_F705,,24.103
1,24,706,707.0,L1_S24_D707,L1_S24_F706,,24.103
1,24,708,,,L1_S24_F708,,24.103
1,24,709,,,L1_S24_F709,,24.103
1,24,710,,,L1_S24_F710,,24.103
1,24,711,712.0,L1_S24_D712,L1_S24_F711,,24.103
1,24,713,,,L1_S24_F713,,24.103
1,24,714,,,L1_S24_F714,,24.103
1,24,715,716.0,L1_S24_D716,L1_S24_F715,,24.103
1,24,717,,,L1_S24_F717,,24.103
1,24,718,,,L1_S24_F718,,24.103
1,24,719,,,,L1_S24_F719,24.103
1,24,720,721.0,L1_S24_D721,L1_S24_F720,,24.103
1,24,722,,,L1_S24_F722,,24.103
1,24,723,,,L1_S24_F723,,24.103
1,24,724,725.0,L1_S24_D725,L1_S24_F724,,24.103
1,24,726,,,L1_S24_F726,,24.103
